date,status,clean_candidate,has_reference,reference_within_tolerance,candidate_ohlc_valid,source_tick_issue,rounded_to_tick,max_abs_ohlc_diff,source_open,candidate_open,reference_open,open_abs_diff,source_high,candidate_high,reference_high,high_abs_diff,source_low,candidate_low,reference_low,low_abs_diff,source_close,candidate_close,reference_close,close_abs_diff,candidate_volume
2021-06-15,clean,True,True,True,True,False,False,0.0,14119.5,14119.5,14119.5,0.0,14163.0,14163.0,14163.0,0.0,14009.25,14009.25,14009.25,0.0,14030.25,14030.25,14030.25,0.0,178160.0
2021-06-16,clean,True,True,True,True,False,False,0.0,14046.75,14046.75,14046.75,0.0,14103.75,14103.75,14103.75,0.0,13840.0,13840.0,13840.0,0.0,13981.25,13981.25,13981.25,0.0,124320.0
2021-06-17,clean,True,True,True,True,False,False,0.0,13948.5,13948.5,13948.5,0.0,14217.75,14217.75,14217.75,0.0,13850.25,13850.25,13850.25,0.0,14165.5,14165.5,14165.5,0.0,113880.0
2021-06-18,clean,True,True,True,True,True,True,0.0703125,14183.75,14183.75,14183.75,0.0,14214.25,14214.25,14214.25,0.0,14063.5,14063.5,14063.5,0.0,14107.43,14107.5,14107.4296875,0.0703125,8580.0
2021-06-21,clean,True,True,True,True,False,False,0.0,14022.75,14022.75,14022.75,0.0,14144.0,14144.0,14144.0,0.0,13958.5,13958.5,13958.5,0.0,14130.0,14130.0,14130.0,0.0,503660.0
2021-06-22,clean,True,True,True,True,False,False,0.0,14136.75,14136.75,14136.75,0.0,14279.25,14279.25,14279.25,0.0,14066.5,14066.5,14066.5,0.0,14258.25,14258.25,14258.25,0.0,420970.0
2021-06-23,clean,True,True,True,True,False,False,0.0,14274.0,14274.0,14274.0,0.0,14315.75,14315.75,14315.75,0.0,14231.75,14231.75,14231.75,0.0,14263.0,14263.0,14263.0,0.0,366490.0
2021-06-24,clean,True,True,True,True,False,False,0.0,14275.25,14275.25,14275.25,0.0,14422.0,14422.0,14422.0,0.0,14270.0,14270.0,14270.0,0.0,14354.25,14354.25,14354.25,0.0,409860.0
2021-06-25,clean,True,True,True,True,False,False,0.0,14365.75,14365.75,14365.75,0.0,14394.25,14394.25,14394.25,0.0,14313.25,14313.25,14313.25,0.0,14339.0,14339.0,14339.0,0.0,379760.0
2021-06-28,clean,True,True,True,True,False,False,0.0,14350.0,14350.0,14350.0,0.0,14519.75,14519.75,14519.75,0.0,14333.25,14333.25,14333.25,0.0,14512.5,14512.5,14512.5,0.0,376860.0
2021-06-29,clean,True,True,True,True,False,False,0.0,14504.5,14504.5,14504.5,0.0,14584.75,14584.75,14584.75,0.0,14468.75,14468.75,14468.75,0.0,14563.0,14563.0,14563.0,0.0,360170.0
2021-06-30,clean,True,True,True,True,False,False,0.0,14584.75,14584.75,14584.75,0.0,14598.5,14598.5,14598.5,0.0,14518.25,14518.25,14518.25,0.0,14549.0,14549.0,14549.0,0.0,384460.0
2021-07-01,clean,True,True,True,True,False,False,0.0,14558.5,14558.5,14558.5,0.0,14606.25,14606.25,14606.25,0.0,14471.0,14471.0,14471.0,0.0,14548.5,14548.5,14548.5,0.0,436420.0
2021-07-02,clean,True,True,True,True,False,False,0.0,14543.75,14543.75,14543.75,0.0,14729.0,14729.0,14729.0,0.0,14513.25,14513.25,14513.25,0.0,14713.75,14713.75,14713.75,0.0,392170.0
2021-07-04,no_reference,False,False,False,True,True,True,,14700.88,14701.0,,,14721.62,14721.5,,,14700.88,14701.0,,,14715.12,14715.0,,,0.0
2021-07-05,no_reference,False,False,False,True,True,True,,14715.5,14715.5,,,14718.5,14718.5,,,14675.12,14675.0,,,14714.38,14714.5,,,0.0
2021-07-06,clean,True,True,True,True,False,False,0.0,14704.25,14704.25,14704.25,0.0,14790.0,14790.0,14790.0,0.0,14625.25,14625.25,14625.25,0.0,14775.5,14775.5,14775.5,0.0,557680.0
2021-07-07,clean,True,True,True,True,False,False,0.0,14764.5,14764.5,14764.5,0.0,14883.75,14883.75,14883.75,0.0,14726.25,14726.25,14726.25,0.0,14802.25,14802.25,14802.25,0.0,471450.0
2021-07-08,clean,True,True,True,True,False,False,0.0,14812.0,14812.0,14812.0,0.0,14822.0,14822.0,14822.0,0.0,14540.5,14540.5,14540.5,0.0,14712.25,14712.25,14712.25,0.0,631210.0
2021-07-09,clean,True,True,True,True,False,False,0.0,14710.25,14710.25,14710.25,0.0,14832.0,14832.0,14832.0,0.0,14640.75,14640.75,14640.75,0.0,14810.5,14810.5,14810.5,0.0,424770.0
2021-07-12,clean,True,True,True,True,False,False,0.0,14824.0,14824.0,14824.0,0.0,14888.5,14888.5,14888.5,0.0,14785.0,14785.0,14785.0,0.0,14869.25,14869.25,14869.25,0.0,362610.0
2021-07-13,clean,True,True,True,True,False,False,0.0,14880.0,14880.0,14880.0,0.0,14994.75,14994.75,14994.75,0.0,14794.5,14794.5,14794.5,0.0,14865.0,14865.0,14865.0,0.0,506390.0
2021-07-14,clean,True,True,True,True,False,False,0.0,14869.75,14869.75,14869.75,0.0,14996.0,14996.0,14996.0,0.0,14841.25,14841.25,14841.25,0.0,14891.75,14891.75,14891.75,0.0,499190.0
2021-07-15,clean,True,True,True,True,False,False,0.0,14895.0,14895.0,14895.0,0.0,14962.75,14962.75,14962.75,0.0,14708.25,14708.25,14708.25,0.0,14787.5,14787.5,14787.5,0.0,634790.0
2021-07-16,clean,True,True,True,True,False,False,0.0,14778.5,14778.5,14778.5,0.0,14869.5,14869.5,14869.5,0.0,14656.0,14656.0,14656.0,0.0,14670.5,14670.5,14670.5,0.0,539010.0
2021-07-19,clean,True,True,True,True,False,False,0.0,14675.0,14675.0,14675.0,0.0,14682.5,14682.5,14682.5,0.0,14445.0,14445.0,14445.0,0.0,14540.75,14540.75,14540.75,0.0,720290.0
2021-07-20,clean,True,True,True,True,False,False,0.0,14593.75,14593.75,14593.75,0.0,14782.5,14782.5,14782.5,0.0,14516.75,14516.75,14516.75,0.0,14722.75,14722.75,14722.75,0.0,529360.0
2021-07-21,clean,True,True,True,True,False,False,0.0,14729.75,14729.75,14729.75,0.0,14839.5,14839.5,14839.5,0.0,14668.25,14668.25,14668.25,0.0,14827.75,14827.75,14827.75,0.0,404350.0
2021-07-22,clean,True,True,True,True,False,False,0.0,14836.75,14836.75,14836.75,0.0,14982.75,14982.75,14982.75,0.0,14826.75,14826.75,14826.75,0.0,14928.5,14928.5,14928.5,0.0,425430.0
2021-07-23,clean,True,True,True,True,False,False,0.0,14979.5,14979.5,14979.5,0.0,15117.25,15117.25,15117.25,0.0,14934.25,14934.25,14934.25,0.0,15098.0,15098.0,15098.0,0.0,449260.0
2021-07-26,clean,True,True,True,True,False,False,0.0,15098.0,15098.0,15098.0,0.0,15134.0,15134.0,15134.0,0.0,15038.75,15038.75,15038.75,0.0,15117.75,15117.75,15117.75,0.0,391520.0
2021-07-27,clean,True,True,True,True,False,False,0.0,15125.25,15125.25,15125.25,0.0,15131.5,15131.5,15131.5,0.0,14774.25,14774.25,14774.25,0.0,14947.75,14947.75,14947.75,0.0,671790.0
2021-07-28,clean,True,True,True,True,False,False,0.0,14875.75,14875.75,14875.75,0.0,15074.5,15074.5,15074.5,0.0,14866.0,14866.0,14866.0,0.0,15011.5,15011.5,15011.5,0.0,577190.0
