session_date,symbol,volume,rows
2021-04-06,NQM1,451748.0,1365.0
2021-04-07,NQM1,427722.0,1365.0
2021-04-08,NQM1,430200.0,1365.0
2021-04-09,NQM1,487137.0,1365.0
2021-04-12,NQM1,448752.0,1365.0
2021-04-13,NQM1,484035.0,1365.0
2021-04-14,NQM1,656291.0,1365.0
2021-04-15,NQM1,514829.0,1365.0
2021-04-16,NQM1,489856.0,1365.0
2021-04-19,NQM1,608573.0,1365.0
2021-04-20,NQM1,603200.0,1365.0
2021-04-21,NQM1,500065.0,1365.0
2021-04-22,NQM1,615655.0,1365.0
2021-04-23,NQM1,439942.0,1365.0
2021-04-26,NQM1,396138.0,1365.0
2021-04-27,NQM1,406657.0,1365.0
2021-04-28,NQM1,497518.0,1365.0
2021-04-29,NQM1,588090.0,1365.0
2021-04-30,NQM1,547890.0,1365.0
2021-05-03,NQM1,468868.0,1365.0
2021-05-04,NQM1,655748.0,1365.0
2021-05-05,NQM1,515251.0,1364.0
2021-05-06,NQM1,562330.0,1365.0
2021-05-07,NQM1,540112.0,1365.0
2021-05-10,NQM1,591916.0,1365.0
2021-05-11,NQM1,782105.0,1365.0
2021-05-12,NQM1,747500.0,1365.0
2021-05-13,NQM1,716426.0,1365.0
2021-05-14,NQM1,464835.0,1365.0
2021-05-17,NQM1,479943.0,1365.0
2021-05-18,NQM1,434380.0,1364.0
2021-05-19,NQM1,659707.0,1365.0
2021-05-20,NQM1,459605.0,1365.0
2021-05-21,NQM1,447710.0,1365.0
2021-05-24,NQM1,360738.0,1365.0
2021-05-25,NQM1,432579.0,1365.0
2021-05-26,NQM1,338625.0,1365.0
2021-05-27,NQM1,385903.0,1365.0
2021-05-28,NQM1,362307.0,1365.0
2021-05-31,NQM1,48323.0,1136.0
2021-06-01,NQM1,395687.0,1365.0
2021-06-02,NQM1,369647.0,1365.0
2021-06-03,NQM1,546891.0,1364.0
2021-06-04,NQM1,435765.0,1365.0
2021-06-07,NQM1,386471.0,1365.0
2021-06-08,NQM1,475550.0,1365.0
2021-06-09,NQM1,370476.0,1365.0
2021-06-10,NQM1,463041.0,1365.0
2021-06-11,NQM1,204734.0,1364.0
2021-06-14,NQU1,292887.0,1363.0
2021-06-15,NQU1,374447.0,1365.0
2021-06-16,NQU1,527438.0,1364.0
2021-06-17,NQU1,626407.0,1365.0
2021-06-18,NQU1,559139.0,1365.0
2021-06-21,NQU1,497728.0,1365.0
2021-06-22,NQU1,416591.0,1365.0
2021-06-23,NQU1,360210.0,1365.0
2021-06-24,NQU1,405545.0,1364.0
2021-06-25,NQU1,375514.0,1365.0
2021-06-28,NQU1,370578.0,1380.0
2021-06-29,NQU1,355298.0,1380.0
2021-06-30,NQU1,378438.0,1380.0
2021-07-01,NQU1,431440.0,1380.0
2021-07-02,NQU1,384271.0,1380.0
2021-07-05,NQU1,49177.0,1140.0
2021-07-06,NQU1,498391.0,1380.0
2021-07-07,NQU1,467768.0,1380.0
2021-07-08,NQU1,627177.0,1380.0
